db,difficulty,algo,eer_pct,optimal_threshold,genuine_avg,imposter_avg,extract_ms_per_img,match_ms_per_cmp
DB1_B,average,SIFT,16.67,8.0,143.19,5.47,81.11,50.394
DB1_B,average,ORB,21.9,5.0,45.16,3.24,18.41,16.767
DB1_B,average,LBP,44.37,0.05,2.82,0.18,27.56,0.036
DB1_B,average,Minutiae,21.75,4.0,24.46,0.84,97.36,2.029
DB2_B,easy,SIFT,6.19,7.0,156.34,4.78,78.54,55.335
DB2_B,easy,ORB,12.94,6.0,38.03,3.8,12.19,19.847
DB2_B,easy,LBP,46.19,3.94,8.29,4.55,26.16,0.027
DB2_B,easy,Minutiae,26.19,10.0,28.49,7.82,165.57,6.849
DB3_B,hard,SIFT,32.54,6.0,19.93,5.13,48.23,29.38
DB3_B,hard,ORB,32.78,5.0,6.91,2.84,7.57,14.243
DB3_B,hard,LBP,37.46,16.87,23.11,15.21,26.01,0.026
DB3_B,hard,Minutiae,32.78,5.0,9.59,3.04,94.21,4.542
DB4_B,synthetic/worst,SIFT,48.25,5.0,4.79,4.73,64.29,51.213
DB4_B,synthetic/worst,ORB,40.16,4.0,1.14,0.36,9.19,11.465
DB4_B,synthetic/worst,LBP,46.9,4.36,8.35,5.61,37.65,0.032
DB4_B,synthetic/worst,Minutiae,47.62,8.0,8.11,7.6,116.02,4.694
